URL handle,Title,Product category,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Price,Compare-at price,Weight value (grams),Height,Width,Depth,Inventory quantity,SKU,Barcode,Published on online store,Requires shipping,Description,Tags,SEO title,SEO description,Vendor,Type,Google Shopping / MPN,Google Shopping / Gender,Google Shopping / Age group,Cost per item,Status,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Charge tax,Tax code,Inventory tracker,Continue selling when out of stock,Fulfillment service,Product image URL,Google Shopping / Google product category
teclado-gamer-steelseries-apex-pro-tkl-rgb-ingles-mgm-imp,Teclado Gamer Steelseries Apex Pro TKL RGB Inglés | MgM IMP,Importados > Teclados,,,,,,,"335,000.00","265,000.00",0.8,5.0,50.0,40.0,5.0,,,SI,NO,,"gamer, mecanico, mousepad, pro, setup, Teclado",,,,SI,,,,,,,,,,,,,,,,,,
teclado-gamer-wireless-steelseries-apex-pro-tkl-rgb-ingles-mgm-imp,Teclado Gamer Wireless Steelseries Apex Pro TKL RGB Inglés | MgM IMP,Importados > Teclados,,,,,,,"410,000.00","326,000.00",0.8,5.0,50.0,40.0,5.0,,,SI,NO,,"gamer, mecanico, mousepad, pro, setup, Teclado",,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-richi-grams-45x40,Mousepad Personalizado Richi grams 45x40,mousepads > serie classic > personalizados,,,,,,,"9,500.00",,0.4,6.0,40.0,6.0,1932.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-league-of-legends-teamfight-tactics-90x40,Mousepad Personalizado League of legends Teamfight Tactics 90x40,mousepads > serie classic > personalizados,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,1931.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-kaiju-8-120x70,Mousepad Personalizado Kaiju 8 120x70,mousepads > serie classic > personalizados,,,,,,,"41,000.00",,0.4,6.0,40.0,6.0,327.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-lugia-65x40,Mousepad Personalizado Lugia 65x40,,,,,,,,"12,000.00",,0.4,6.0,40.0,6.0,73.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-cozy-green-and-cat-82x32,Mousepad Personalizado Cozy green and cat 82x32,mousepads > serie classic > personalizados,,,,,,,"12,500.00",,0.4,6.0,32.0,6.0,501.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-pablo-90x40,Mousepad Personalizado Pablo 90x40,mousepads > serie classic > personalizados,,,,,,,"17,000.00",,0.4,6.0,40.0,6.0,259.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-messi-120x50,Mousepad Personalizado Messi 120x50,mousepads > serie classic > personalizados,,,,,,,"29,000.00",,0.4,6.0,40.0,6.0,327.0,,,SI,NO,,,,,,SI,,,,,,,,,,,,,,,,,,
mousepad-personalizado-the-mandalorian-mgm-pro-plus,Mousepad Personalizado The Mandalorian | MGM Pro plus,mousepads > serie pro ,Medida,Pro plus (90x40cm),,,,,"33,500.00",,0.95,12.0,40.0,12.0,,,,SI,NO,,"gamer, mousepad, pro",,,MgMGamers - Mousepads,SI,,Unisex,5 a 13 años,,,,,,,,,,,,,,,
